	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0000389	1	2	1	8	1	1	2	1	1	18
OG0000390	2	2	1	3	2	3	1	2	2	18
OG0000391	4	4	1	6	1	0	1	1	0	18
OG0000392	3	3	1	8	1	1	0	0	1	18
OG0000393	2	2	1	4	4	2	0	2	1	18
OG0000394	3	3	0	4	1	2	0	1	4	18
OG0000395	7	7	0	3	1	0	0	0	0	18
OG0000396	1	1	0	11	1	2	1	0	1	18
OG0000397	2	2	1	5	2	3	0	2	1	18
OG0000398	1	1	3	2	1	1	1	2	6	18
OG0000399	1	1	4	5	3	2	1	1	0	18
OG0000400	2	2	1	5	2	3	1	1	1	18
OG0000401	2	2	1	5	2	2	1	2	1	18
OG0000402	1	1	2	9	1	1	1	1	1	18
OG0000403	1	1	2	4	5	2	1	1	1	18
OG0000404	2	2	2	2	2	2	2	2	2	18
OG0000405	4	4	2	3	2	1	0	1	1	18
OG0000406	1	1	1	10	1	1	1	1	1	18
OG0000407	1	1	2	8	1	1	2	1	1	18
OG0000408	5	5	0	3	1	1	0	2	1	18
OG0000409	3	2	0	8	2	3	0	0	0	18
OG0000410	3	4	0	7	2	1	0	1	0	18
OG0000411	4	4	2	2	1	1	2	1	1	18
OG0000412	1	1	2	9	1	2	0	1	1	18
OG0000413	2	2	2	2	2	2	2	2	2	18
OG0000414	2	3	1	5	2	1	2	1	1	18
OG0000415	5	5	0	1	3	1	1	0	2	18
OG0000416	3	2	0	13	0	0	0	0	0	18
OG0000417	2	1	0	12	2	1	0	0	0	18
OG0000418	1	1	0	10	4	1	0	1	0	18
OG0000419	3	3	0	4	5	2	0	1	0	18
OG0000420	2	2	2	7	1	1	0	2	1	18
OG0000421	3	2	0	6	4	3	0	0	0	18
OG0000422	2	3	1	5	2	1	2	1	1	18
OG0000423	1	1	0	11	0	3	1	1	0	18
OG0000424	1	1	0	12	2	2	0	0	0	18
OG0000425	1	1	1	10	1	1	1	1	1	18
OG0000426	1	1	3	7	2	2	0	1	1	18
OG0000427	1	1	0	9	2	3	1	1	0	18
OG0000428	1	1	1	6	2	6	0	1	0	18
OG0000429	1	1	1	8	2	1	1	1	2	18
OG0000430	1	1	2	4	2	2	2	1	3	18
OG0000431	2	1	0	4	6	5	0	0	0	18
OG0000432	2	2	2	6	1	2	1	1	1	18
OG0000433	1	1	1	5	4	4	0	1	1	18
OG0000434	1	1	0	8	3	1	0	0	4	18
OG0000435	7	7	0	3	0	0	0	0	1	18
OG0000436	3	3	0	12	0	0	0	0	0	18
OG0000437	2	2	2	2	2	3	1	2	2	18
OG0000438	1	1	1	12	1	1	0	1	0	18
OG0000439	2	1	0	11	2	1	0	0	1	18
OG0000440	0	0	0	14	1	1	0	0	2	18
OG0000441	2	2	2	10	1	0	0	0	0	17
OG0000442	3	3	2	2	1	3	1	1	1	17
OG0000443	2	2	1	4	2	2	2	1	1	17
OG0000444	1	1	1	9	1	2	0	1	1	17
OG0000445	2	2	0	2	2	1	0	1	7	17
OG0000446	2	2	2	5	1	1	1	2	1	17
OG0000447	3	3	1	5	1	2	0	1	1	17
OG0000448	2	2	1	2	2	3	2	1	2	17
OG0000449	3	1	0	9	2	2	0	0	0	17
OG0000450	2	2	2	2	2	2	2	2	1	17
OG0000451	1	1	1	7	1	2	2	1	1	17
OG0000452	1	1	1	8	1	2	0	2	1	17
OG0000453	3	3	1	2	1	2	2	1	2	17
OG0000454	2	2	1	4	2	2	1	2	1	17
OG0000455	3	3	2	3	1	1	0	1	3	17
OG0000456	2	2	1	8	1	1	0	2	0	17
OG0000457	1	1	2	7	1	1	1	1	2	17
OG0000458	1	2	0	8	1	3	2	0	0	17
OG0000459	2	2	1	3	1	4	3	1	0	17
OG0000460	4	4	1	3	1	1	1	2	0	17
OG0000461	1	1	1	7	1	3	1	1	1	17
OG0000462	1	1	1	11	0	1	0	2	0	17
OG0000463	1	1	1	8	1	2	1	1	1	17
OG0000464	4	4	1	1	2	1	2	1	1	17
OG0000465	2	2	1	2	2	2	2	3	1	17
OG0000466	1	1	0	4	4	5	0	1	1	17
OG0000467	4	4	0	4	2	3	0	0	0	17
OG0000468	1	1	0	11	1	2	0	1	0	17
OG0000469	2	2	1	4	4	2	0	1	1	17
OG0000470	4	4	1	5	2	0	0	0	1	17
OG0000471	1	1	2	7	1	2	1	1	1	17
OG0000472	1	1	0	5	4	3	1	1	1	17
OG0000473	2	2	1	8	1	3	0	0	0	17
OG0000474	3	3	0	8	1	1	0	1	0	17
OG0000475	1	1	0	14	1	0	0	0	0	17
OG0000476	2	2	0	4	7	0	0	2	0	17
OG0000477	1	1	1	10	1	1	0	1	1	17
OG0000478	1	1	1	9	1	1	1	1	1	17
OG0000479	4	4	0	5	2	2	0	0	0	17
OG0000480	2	2	1	4	2	3	1	1	1	17
OG0000481	3	3	4	5	1	0	0	1	0	17
OG0000482	2	2	2	2	2	2	2	1	2	17
OG0000483	1	1	0	8	2	1	2	1	1	17
OG0000484	3	2	1	4	3	1	1	1	1	17
OG0000485	1	1	1	8	1	1	2	2	0	17
OG0000486	1	1	1	9	1	1	1	1	1	17
OG0000487	2	2	1	2	6	2	0	1	1	17
OG0000488	1	1	0	4	8	3	0	0	0	17
OG0000489	2	2	2	2	2	2	2	2	1	17
OG0000490	2	2	0	10	1	0	1	1	0	17
OG0000491	3	3	0	3	7	1	0	0	0	17
OG0000492	2	2	1	2	2	4	1	1	2	17
OG0000493	2	2	1	3	2	2	1	1	3	17
OG0000494	1	1	1	10	1	0	1	1	1	17
OG0000495	2	1	1	9	1	1	1	1	0	17
OG0000496	1	1	0	13	1	1	0	0	0	17
OG0000497	1	1	1	8	1	2	1	1	1	17
OG0000498	2	2	2	4	2	2	1	1	1	17
OG0000499	1	1	1	9	1	1	1	1	1	17
OG0000500	1	1	2	1	1	1	4	3	3	17
OG0000501	1	1	0	10	2	3	0	0	0	17
OG0000502	1	1	1	8	1	2	1	1	1	17
OG0000503	1	1	1	11	3	0	0	0	0	17
OG0000504	1	1	1	6	1	3	1	3	0	17
OG0000505	1	1	1	8	1	1	2	1	1	17
OG0000506	1	1	1	7	1	3	1	1	1	17
OG0000507	1	6	0	6	4	0	0	0	0	17
OG0000508	1	1	1	6	2	3	1	1	1	17
OG0000509	0	0	1	2	12	1	0	1	0	17
